;Very important;Rather important;Not very important;Not at all important;NA;DK;(N)
TOTAL;87,9;10,3;1,2;0,3;0;0,3;74,299
Albania;95,8;3,2;0,3;0,2;0;0,5;999
Azerbaijan;84,7;13,2;1,4;0,1;0;0,5;2,002
Argentina;86,6;12,1;1,3;0,1;0;0;1,079
Australia;90,2;8;1,4;0,4;0;0;2,048
Bangladesh;94,2;5;0,5;0,1;0;0,1;1,525
Armenia;86;12;1,2;0,4;0;0,4;2
Brazil;92,6;6,6;0,7;0;0;0,1;1,143
Bulgaria;87,9;10,2;0,9;0,3;0;0,7;1,072
Belarus;83,8;13,2;2;0,2;0;0,8;2,092
Chile;88,8;8,9;1,1;0,1;0;1,1;1
China;76,5;22;1,2;0,1;0;0,3;1,5
Taiwan;77,7;20,6;0,9;0,4;0,1;0,3;780
Colombia;86;13,5;0,4;0;0;0;6,025
Croatia;85,2;12,2;2,3;0,2;0;0,2;1,196
Czech Rep.;90,8;7,2;1,5;0,2;0,3;0;1,147
Dominican Rep.;85,1;14,4;0;0;0;0,5;417
El Salvador;96,6;2,5;0,5;0,2;0;0,2;1,254
Estonia;77,7;19,5;2,1;0,2;0;0,6;1,021
Finland;80,4;15,9;2,1;0,4;0;1,1;987
Georgia;94,6;4,3;0,5;0,4;0;0,1;2,008
Hungary;89,4;8,2;1,2;1,1;0;0,2;650
India;90,8;7,9;0,9;0,1;0;0,2;2,04
Japan;89,8;8,3;0,7;0,2;0;0,9;1,054
South Korea;90,1;9,1;0,4;0;0,1;0,3;1,249
Latvia;67,8;25,4;4,9;1,5;0;0,3;1,2
Lithuania;73,2;23;2,5;0,3;0;1;1,009
Mexico;74,3;22,1;3;0,3;0;0,3;1,51
Moldova;79;18,1;2,2;0,6;0;0,1;984
New Zealand;92,6;5,7;0,7;0,1;0,8;0,1;1,201
Nigeria;97,5;2,1;0,2;0;0;0,1;1,996
Norway;87,8;10,6;1,6;0,1;0;0;1,127
Pakistan;80,8;14,6;3,7;0,6;0;0,3;733
Peru;87,4;11,1;1,2;0;0;0,2;1,211
Philippines;95,8;4;0,1;0,1;0;0;1,2
Poland;89,7;9,5;0,2;0,2;0;0,5;1,153
Puerto Rico;92,6;7;0,2;0,2;0;0;1,164
Romania;88,6;8,9;2;0,2;0;0,2;1,239
Russia;83,7;12,6;2,6;0,7;0;0,4;2,04
Slovakia;90,9;8,2;0,7;0,1;0;0,1;1,095
Slovenia;82;14,5;1,8;1,1;0;0,6;1,007
South Africa;93,1;4,7;1,7;0,4;0;0,1;2,935
Spain;81,8;17,3;0,5;0,3;0;0,1;1,211
Sweden;90,2;8,2;1,4;0,2;0;0;1,009
Switzerland;80,9;16,2;2,5;0,3;0;0,1;1,212
Turkey;96,6;3;0,2;0,1;0;0;1,907
Ukraine;85,7;11,3;1,4;0,5;0;1,1;2,811
Macedonia;97,5;1,8;0,2;0;0;0,5;995
United States;95,2;4;0,6;0,1;0;0;1,542
Uruguay;91,3;7,1;1;0,5;0;0,2;1
Venezuela;97,9;1,6;0;0,4;0;0,1;1,2
Serbia;88,6;9,5;1,4;0,2;0;0,3;1,28
Montenegro;88,3;11,2;0,4;0;0;0;240
Bosnia;96,8;3;0,1;0,1;0;0;800
