;Very important;Rather important;Not very important;Not at all important;NA;DK;(N)
TOTAL;41,1;43,8;12,5;1,8;0,1;0,8;74,299
Albania;18,6;65,8;12,4;0,5;0;2,7;999
Azerbaijan;35,2;56,6;7,4;0,6;0;0,1;2,002
Argentina;48,6;35,1;14,3;1,8;0;0,2;1,079
Australia;62,6;32,9;3,8;0,2;0;0,4;2,048
Bangladesh;16,1;57,5;22,8;3,1;0;0,4;1,525
Armenia;44,4;46,4;8,2;0,6;0;0,4;2
Brazil;57,7;30,4;9,4;2,4;0;0,2;1,143
Bulgaria;40,8;44,8;11,7;1,1;0;1,7;1,072
Belarus;31,3;50;15,2;2,1;0;1,5;2,092
Chile;27,6;36,1;30,4;4,8;0;1;1
China;29,3;54,9;12,9;1;0;1,9;1,5
Taiwan;29;58,6;11,3;0,4;0;0,8;780
Colombia;33,5;51,7;14,1;0,6;0;0,2;6,025
Croatia;48,3;43,5;7,2;0,8;0;0,2;1,196
Czech Rep.;38,4;50,6;9,7;0,8;0,5;0;1,147
Dominican Rep.;34,3;50,8;10,3;0,5;0;4,1;417
El Salvador;64,5;26,2;7,1;1,8;0;0,5;1,254
Estonia;26,8;59,2;12,6;1,2;0;0,2;1,021
Finland;56;40,4;2,6;0,1;0;0,8;987
Georgia;73,6;23,4;2,7;0,3;0;0;2,008
Hungary;38,2;37,7;20,5;3,2;0;0,5;650
India;37,5;40;18,6;3;0;0,8;2,04
Japan;48,1;46,5;4;0,3;0;1,1;1,054
South Korea;45,2;50,6;3;0,3;0,2;0,6;1,249
Latvia;24,2;56,9;16,5;2,2;0;0,2;1,2
Lithuania;21,6;55,3;19,7;2,1;0;1,3;1,009
Mexico;28,9;38,7;28,1;3,6;0;0,7;1,51
Moldova;21,2;50,6;24,3;3,2;0;0,7;984
New Zealand;55,4;36,9;4,4;0,1;3,2;0,1;1,201
Nigeria;53;36,7;9,1;0,9;0;0,3;1,996
Norway;59;38,1;2,8;0,2;0;0;1,127
Pakistan;25,1;33,7;30,2;4,3;0;6,8;733
Peru;21,9;36,3;35,8;4,1;0;2;1,211
Philippines;39;48,8;10,6;1,5;0;0,1;1,2
Poland;26;58,3;14,3;1;0;0,3;1,153
Puerto Rico;28,8;46,8;21,7;1,9;0,2;0,6;1,164
Romania;20,7;47,2;28,2;3,4;0;0,5;1,239
Russia;29,2;49,6;19,3;1,5;0;0,4;2,04
Slovakia;32;58,6;7,9;0,6;0;0,9;1,095
Slovenia;41;46,1;12,1;0,5;0;0,3;1,007
South Africa;27;35,4;24,6;12,3;0;0,7;2,935
Spain;40,7;49,2;8,3;1,3;0;0,4;1,211
Sweden;69,9;28,2;1,6;0,3;0;0;1,009
Switzerland;58,2;36;4,9;0,1;0;0,7;1,212
Turkey;71,2;26,7;1,6;0,2;0;0,2;1,907
Ukraine;34,1;52,6;9,1;1,6;0;2,6;2,811
Macedonia;47,8;40,9;5,9;1,7;0;3,6;995
United States;69,4;26,4;3,8;0,3;0;0,2;1,542
Uruguay;57,6;29,9;10,3;1,6;0;0,7;1
Venezuela;42,2;39,6;12,6;5,4;0;0,2;1,2
Serbia;48,3;45,2;5,6;0,7;0;0,2;1,28
Montenegro;47,1;46,7;4,2;0,8;0;1,2;240
Bosnia;69,8;27,3;2,6;0,2;0;0,1;800
