;Very important;Rather important;Not very important;Not at all important;NA;DK;(N)
TOTAL;32,5;43,6;18,3;4;0,1;1,6;74,299
Albania;11,8;33,1;36,1;15,5;0;3,4;999
Azerbaijan;30;51,7;16,2;1,5;0;0,5;2,002
Argentina;26,4;49,3;20;3,3;0;0,9;1,079
Australia;44,4;44,4;9,8;0,6;0;0,8;2,048
Bangladesh;11,1;47,5;35,5;5;0;0,9;1,525
Armenia;23;47,4;22,4;4,7;0;2,4;2
Brazil;54,2;36,7;6,6;2,4;0;0,1;1,143
Bulgaria;20,9;38;30,2;6,4;0;4,5;1,072
Belarus;28,7;44,4;19,6;3,7;0;3,5;2,092
Chile;42;43,6;10,7;1,8;0;2;1
China;10,7;43,9;36,6;6;0;2,9;1,5
Taiwan;25,8;51,8;20,8;1;0;0,6;780
Colombia;39,7;48,5;10,8;0,8;0;0,2;6,025
Croatia;33;42,5;19,8;3,1;0;1,6;1,196
Czech Rep.;26,2;48;22;3,1;0,7;0;1,147
Dominican Rep.;29,7;37,2;22,8;5;0;5,3;417
El Salvador;61,8;26,7;9,1;1,6;0;0,8;1,254
Estonia;21,3;53,7;20,4;3,1;0;1,6;1,021
Finland;34,7;55,6;7,5;0,8;0;1,4;987
Georgia;36,2;44,8;14,1;4,3;0;0,6;2,008
Hungary;33,5;41,4;21,1;3,8;0;0,2;650
India;11,1;24,9;40,1;21,9;0;2;2,04
Japan;39,8;49,1;8,8;0,6;0;1,7;1,054
South Korea;22,7;62,8;12,4;1,3;0,2;0,6;1,249
Latvia;19,7;44,8;26,8;6,1;0;2,7;1,2
Lithuania;18,4;54,2;23,2;2,3;0;1,9;1,009
Mexico;35,5;36,5;23;3,6;0;1,4;1,51
Moldova;22,3;45,9;22,8;7,3;0;1,7;984
New Zealand;45;43,5;6,6;0,7;4,2;0,1;1,201
Nigeria;50,4;32,2;13,8;2,5;0;1,1;1,996
Norway;39;52,4;7,6;1,1;0;0;1,127
Pakistan;12,5;26,5;34;21,8;0;5,2;733
Peru;28,5;38;25,9;4,3;0;3,3;1,211
Philippines;14,2;41,4;35,6;8,5;0;0,2;1,2
Poland;23;54,9;16,7;2,4;0;3;1,153
Puerto Rico;47,1;41,3;10,3;0,9;0;0,3;1,164
Romania;27;45,4;21,1;5,1;0;1,4;1,239
Russia;25,8;44,5;24,4;3,8;0;1,6;2,04
Slovakia;25,6;55;16,6;1,7;0;1,1;1,095
Slovenia;33,3;44,4;19,1;2,7;0;0,6;1,007
South Africa;31,5;39,7;19,6;7,7;0;1,5;2,935
Spain;30,2;52;15,4;1,4;0;1;1,211
Sweden;51,4;43;4,4;0,7;0;0,5;1,009
Switzerland;45,2;43;9,4;1,1;0;1,3;1,212
Turkey;40,1;38,3;16,6;3,3;0;1,6;1,907
Ukraine;24,8;44,3;19,7;5,8;0;5,4;2,811
Macedonia;45,5;32,9;12,6;1,6;0;7,4;995
United States;42,3;45,7;10,7;0,8;0;0,5;1,542
Uruguay;46,4;41,3;9;1,5;0;1,8;1
Venezuela;60,4;26,4;10;2,7;0;0,5;1,2
Serbia;25,9;45,6;24,2;3;0;1,2;1,28
Montenegro;25,4;46,2;24,2;2,5;0;1,7;240
Bosnia;47,1;41,4;8,5;1,9;0;1,1;800
