;Very important;Rather important;Not very important;Not at all important;NA;DK;(N)
TOTAL;11,4;25,7;36,5;24,2;0,1;2,1;74,299
Albania;3,7;18,3;39,9;35,3;0;2,7;999
Azerbaijan;9,6;27,3;41,6;20,8;0;0,7;2,002
Argentina;10,1;20,5;31,7;36,7;0;0,9;1,079
Australia;15;34,4;35,8;14;0;0,8;2,048
Bangladesh;13,4;35,2;36,7;12,9;0;1,8;1,525
Armenia;14;35;31,7;16,8;0;2,4;2
Brazil;21,8;28,3;22,1;25,4;0;2,4;1,143
Bulgaria;6,9;17,8;41,1;31,1;0;3,1;1,072
Belarus;9,8;30,5;35;22,1;0;2,6;2,092
Chile;6,9;13;35;42,8;0;2,3;1
China;23,7;35,3;27,4;7,4;0;6,2;1,5
Taiwan;10,9;31;42,4;10,6;0,1;4,9;780
Colombia;9,4;22,7;50,2;16,8;0;1;6,025
Croatia;5,9;20,2;39,9;32,9;0;1,2;1,196
Czech Rep.;3,2;22,3;44,7;28,6;1,1;0;1,147
Dominican Rep.;15,6;21,3;39,1;18,2;0;5,8;417
El Salvador;17;19,2;21,1;37,8;0;4,9;1,254
Estonia;4,6;23,4;46,4;24,4;0;1,2;1,021
Finland;3,1;16,2;50,4;28,9;0;1,4;987
Georgia;13,2;33,3;25,7;27,8;0;0;2,008
Hungary;6,6;20,5;37,7;34,8;0;0,5;650
India;10,9;21,8;33,5;30,6;0;3,1;2,04
Japan;18,3;42,8;29,3;3,4;0;6,2;1,054
South Korea;19,2;45,6;28,2;5,8;0,2;1;1,249
Latvia;5,1;20,9;42,8;28,2;0;3;1,2
Lithuania;3,9;24,2;47,8;22,7;0;1,5;1,009
Mexico;17,2;27,3;35,4;18,3;0;1,9;1,51
Moldova;6,6;21,1;42,7;27;0;2,5;984
New Zealand;7;34,7;41,1;11,7;4,2;1,3;1,201
Nigeria;21,4;21,4;31,3;23,3;0;2,7;1,996
Norway;6;38,9;45,1;10;0;0;1,127
Pakistan;7,7;12,4;19;56,3;0;4,6;733
Peru;13,1;22,7;36,4;22,1;0;5,6;1,211
Philippines;14,6;34;31,1;19,4;0;0,9;1,2
Poland;6,9;23,2;37,4;30,4;0;2,1;1,153
Puerto Rico;12,9;22,5;38,8;24,7;0;1;1,164
Romania;6,9;17,6;37,3;36,5;0;1,7;1,239
Russia;8,1;19,5;42,7;28,9;0;0,8;2,04
Slovakia;3,7;24,4;45,2;25,1;0;1,6;1,095
Slovenia;2,9;11,9;47,2;37,5;0;0,5;1,007
South Africa;18,7;25,3;26,4;26,2;0;3,4;2,935
Spain;7,8;15,3;32,1;42,7;0;2,1;1,211
Sweden;11;36,2;41;11,6;0;0,2;1,009
Switzerland;6,4;31,4;41,9;19;0;1,2;1,212
Turkey;24,2;27,4;23,4;24,2;0;0,8;1,907
Ukraine;6,4;21,9;39,2;26,9;0;5,6;2,811
Macedonia;9,8;21,4;34,1;31,3;0;3,4;995
United States;17,8;40,4;31,9;8,8;0;1;1,542
Uruguay;13,8;21,7;31,4;31,2;0;1,9;1
Venezuela;12,7;14,3;20,7;51,2;0;1,1;1,2
Serbia;7,3;16,6;42;32,1;0;2;1,28
Montenegro;4,6;23,8;36,2;32,5;0;2,9;240
Bosnia;14,1;34,2;29,9;20,8;0;1;800
