;Very important;Rather important;Not very important;Not at all important;NA;DK;(N)
TOTAL;38,1;27,5;20,1;12,1;0,1;2,1;74,299
Albania;24,2;34,5;28,2;10,7;0;2,3;999
Azerbaijan;29,5;52,5;13,2;3,3;0;1,4;2,002
Argentina;34,9;31,1;21,3;11,8;0;0,9;1,079
Australia;23,1;24,6;32,2;19,2;0;0,8;2,048
Bangladesh;82,2;16,1;1;0,5;0;0,2;1,525
Armenia;25;36,8;22,6;9,6;0;6;2
Brazil;64,5;24,8;7,7;2,8;0;0,2;1,143
Bulgaria;14,8;25,7;30,6;24,3;0;4,5;1,072
Belarus;20;31;25,2;15,4;0;8,4;2,092
Chile;41,8;31,3;19;5,6;0;2,2;1
China;3,9;10,3;30,8;44;0;11,1;1,5
Taiwan;12,6;35,1;44,7;6;0;1,5;780
Colombia;49;38,7;10,5;1,5;0;0,3;6,025
Croatia;25,7;29,8;28;15,6;0;0,9;1,196
Czech Rep.;9;14;27,6;46,4;3,1;0;1,147
Dominican Rep.;49,6;32,1;11,5;3,4;0;3,4;417
El Salvador;86,5;8,2;2,6;2,2;0;0,5;1,254
Estonia;7,9;19,4;37,5;32,7;0;2,4;1,021
Finland;13,3;31,5;37,1;17,3;0;0,8;987
Georgia;49,3;34,1;10,8;5,6;0;0,2;2,008
Hungary;21,5;20,6;29,2;28,5;0;0,2;650
India;48,2;29,5;13,9;7;0;1,4;2,04
Japan;6,4;14,9;38,3;31,7;0;8,7;1,054
South Korea;19,8;30,8;32,6;15,7;0,2;1;1,249
Latvia;12,2;23,5;32,8;27,1;0;4,3;1,2
Lithuania;13,1;39,2;30,9;14;0;2,8;1,009
Mexico;45,4;33,2;17,1;3;0;1,3;1,51
Moldova;30,5;36;22,8;10;0;0,8;984
New Zealand;19;19,2;26,4;30,2;3,8;1,3;1,201
Nigeria;91,5;6,7;1,3;0,2;0;0,3;1,996
Norway;12,1;26,1;41,1;20,7;0;0,1;1,127
Pakistan;80,5;14,1;5,3;0,1;0;0;733
Peru;53,3;28,4;12,9;2,2;0;3,2;1,211
Philippines;78,3;19,5;1,8;0,2;0;0,2;1,2
Poland;46,4;36,3;13;3,2;0;1;1,153
Puerto Rico;71,2;21,6;4,1;2,7;0;0,3;1,164
Romania;37,5;37,6;17,8;4,8;0;2,2;1,239
Russia;14;25,9;34,8;22,5;0;2,8;2,04
Slovakia;23,7;30,5;24,2;19,3;0;2,4;1,095
Slovenia;16,3;26,7;34,2;21,8;0;1;1,007
South Africa;67,8;22,1;7;2,5;0;0,5;2,935
Spain;25,2;32,5;27,8;13,9;0;0,7;1,211
Sweden;9,5;19,7;42,6;27,2;0;1;1,009
Switzerland;14,3;26,4;32,3;24,6;0;2,4;1,212
Turkey;83,3;10,2;4,1;2,4;0;0;1,907
Ukraine;19,1;29,7;24,4;18;0;8,7;2,811
Macedonia;33,8;29,2;20,6;12,3;0;4,1;995
United States;55,9;26,2;12,4;5,2;0;0,4;1,542
Uruguay;22,8;26,1;30,3;19,3;0;1,5;1
Venezuela;61,1;23,9;9,2;5,6;0;0,2;1,2
Serbia;25,3;28,8;29,1;14;0;2,8;1,28
Montenegro;23,8;27,5;32,5;13,3;0;2,9;240
Bosnia;39,8;35,8;15,6;8,2;0;0,6;800
