;Agree;Neither;Disagree;NA;DK;(N)
TOTAL;37,2;20,8;39,7;0,1;2,2;74,389
Albania;46,3;6,8;40,6;0;6,2;999
Azerbaijan;61,5;8,2;27;0;3,3;2,002
Argentina;23,7;8,6;66,8;0;0,9;1,079
Australia;25,3;6,3;67,5;0;0,9;2,048
Bangladesh;55,1;19,9;22,6;0;2,4;1,525
Armenia;58,3;8,5;30,5;0;2,7;2
Brazil;35,4;62,5;1,7;0;0,3;1,143
Bulgaria;33,9;23,8;38,3;0;4;1,072
Belarus;43,2;16,5;37;0;3,3;2,092
Chile;29,6;25,5;44,9;0;0,1;1
China;41,7;19,1;35,6;0;3,6;1,5
Taiwan;56,3;37,2;5,4;0,4;0,8;780
Colombia;29,1;68,9;1,7;0;0,3;2,996
Croatia;33,6;22,8;43;0;0,6;1,196
Czech Rep.;31,3;20,7;46,8;1,1;0;1,147
Dominican Rep.;14,1;17,3;62,6;0;6;417
El Salvador;27;66,3;5,9;0;0,9;1,254
Estonia;32,6;13,3;52,9;0;1,2;1,021
Finland;13,6;8,9;76,5;0;1;987
Georgia;63,8;9,7;25,4;0;1,1;2,008
Germany;22,1;13,9;63,4;0;0,7;2,026
Hungary;44;22,2;33,1;0;0,8;650
India;45,4;7,8;36,2;0;10,5;2,04
Japan;31,6;45,6;18,5;0;4,3;1,054
South Korea;42,7;33,1;24;0,1;0,2;1,249
Latvia;24,7;19,2;55,1;0;1,1;1,2
Lithuania;31;18,6;46,3;0;4,1;1,009
Mexico;25,4;66;5,5;0;3;1,51
Moldova;50,8;17,4;29,7;0;2,1;984
New Zealand;12,6;22,1;61,2;3,3;0,8;1,201
Nigeria;55,9;11,5;30,9;1,6;0,1;1,996
Norway;14,4;5,9;79,4;0;0,4;1,127
Pakistan;76,8;2,9;20,3;0;0;733
Peru;19,4;23;54,5;0;3,1;1,211
Philippines;50,1;27,8;22,1;0;0,1;1,2
Poland;43;13,7;39,7;0;3,6;1,153
Puerto Rico;33,5;4,8;61,2;0;0,5;1,164
Romania;37,4;25,4;33,7;0;3,5;1,239
Russia;47,4;11,6;37,6;0;3,4;2,04
Slovakia;38,9;27,7;32,3;0;1,1;1,095
Slovenia;25,9;18,5;54,1;0;1,5;1,007
South Africa;36,4;13,5;48,5;0;1,7;2,935
Spain;26,9;15;56,7;0;1,3;1,211
Sweden;7,5;0;90,5;0;2;1,009
Switzerland;26,9;16,6;54,6;0;1,9;1,212
Turkey;66,2;5,8;27,2;0,5;0,4;1,907
Ukraine;34,7;15,3;42,4;0;7,6;2,811
Macedonia;46,9;16,1;33;0;4;995
United Kingdom;23,6;7,2;67,2;0;2;1,093
United States;18,6;11;69,1;0;1,3;1,542
Uruguay;27,5;69,2;2;0;1,2;1
Venezuela;31,8;13,1;52,2;0;2,9;1,2
Serbia;33;14,8;50,9;0;1,2;1,28
Montenegro;31,2;23,3;42,1;0;3,3;240
Bosnia;38,6;22,6;37,5;1,2;0;800
