;A religious person;Not a religous person;A convinced atheist;Other answers;NA;DK;INAP (TR: No Religious Denomination);(N)
TOTAL;66,9;24,4;3,4;0;0,2;4,7;0,4;69,814
Albania;43,4;47,8;4,9;0;0;3,8;0;999
Azerbaijan;83,7;10,2;0,9;0;0;5,2;0;2,002
Argentina;79,2;16,4;2;0;0;2,4;0;1,079
Australia;57,8;35;5,3;0;0;1,8;0;2,048
Bangladesh;81,3;15,5;0,1;0;0;3,1;0;1,525
Armenia;66,6;18,9;3,8;0;0;10,6;0;2
Brazil;85,1;14;0,5;0;0;0,3;0;1,143
Bulgaria;47,9;37,3;5,5;0;0;9,2;0;1,072
Belarus;58,7;22,1;3,4;0;0;15,8;0;2,092
Chile;72,6;23,5;1,2;0;0;2,7;0;1
Taiwan;72,2;22,1;1,7;0;0;4,1;0;780
Colombia;84,6;14,2;0,6;0;0;0,5;0;2,996
Croatia;68,8;21,5;6,3;0;0;3,4;0;1,196
Czech Rep.;41,3;43,7;10,4;0;4,6;0;0;1,147
Dominican Rep.;74,3;19,7;3,4;0;0;2,6;0;417
El Salvador;69,3;28,9;1,2;0;0;0,6;0;1,254
Estonia;33,7;56,5;4,4;0;0;5,4;0;1,021
Finland;54;37,5;2,9;0;0;5,6;0;987
Georgia;85,8;9,1;1,1;0;0;4;0;2,008
Germany;45,3;35,5;16,3;0;0;2,9;0;2,026
Hungary;54;38,3;5,8;0;0;1,8;0;650
India;72,4;14,2;4;0;0;9,5;0;2,04
Japan;21,8;58,7;11,2;0;0;8,3;0;1,054
Latvia;60,4;31,5;2,1;0;0;6;0;1,2
Lithuania;78,2;14,4;1;0;0;6,4;0;1,009
Mexico;63;28,7;5,1;0;0;3,2;0;1,51
Moldova;79,8;15,3;1,8;0;0;3;0;984
New Zealand;47;37,5;5,2;0;2,2;8,1;0;1,201
Nigeria;92,1;4,6;1,1;0;2,2;0,1;0;1,996
Norway;46,6;48,8;3,9;0;0;0,7;0;1,127
Peru;77,2;16,4;0,5;0;0;5,9;0;1,211
Philippines;83,6;15,8;0,2;0;0;0,4;0;1,2
Poland;90,9;4,5;1,6;0;0;2,9;0;1,153
Puerto Rico;85,1;13,1;0,7;0;0;1,1;0;1,164
Romania;78,9;14;1,5;0;0;5,7;0;1,239
Russia;58,8;30;3,7;0;0;7,5;0;2,04
Slovakia;75;17,2;3,9;0;0;3,9;0;1,095
Slovenia;64,9;21,9;7,1;0;0;6;0;1,007
South Africa;78;17,4;1,6;0,3;0;2,7;0;2,935
Spain;67,5;27;3,1;0;0;2,4;0;1,211
Sweden;31,4;58,9;6,1;0;0;3,6;0;1,009
Switzerland;54,2;36,1;4,2;0;0;5,5;0;1,212
Turkey;65,4;16,8;1,1;0;1,3;0,9;14,4;1,907
Ukraine;58;28,6;3,6;0;0;9,9;0;2,811
Macedonia;53,7;25,8;1,3;0;0;19,2;0;995
United States;79,1;17,5;0,9;0;0;2,5;0;1,542
Uruguay;52,5;35,3;8;0;0;4,1;0;1
Venezuela;84,1;13,1;1;0;0;1,8;0;1,2
Serbia;55,7;33;4,5;0;0;6,7;0;1,28
Montenegro;46,2;42,5;5;0;0;6,2;0;240
Bosnia;67,2;25,4;3,9;0;0;3,5;0;800
