;Very important;Rather important;Not very important;Not at all important;No answer;DK;(N)
TOTAL;93,3;5,7;0,7;0,1;0,1;0,1;58,842
Albania;95,9;3,1;0,8;0;0;0,2;1
Algeria;94,4;4,7;0,5;0,1;0;0,4;1,282
Argentina;90,2;8,4;1;0,3;0;0,1;1,28
Bangladesh;96,7;3,3;0;0;0;0;1,5
Bosnia Herzegovina;98,7;1,2;0;0;0;0,1;1,2
Canada;93,9;5,3;0,4;0,4;0;0;1,931
Chile;96,4;2,8;0,5;0,3;0;0;1,2
China;60,2;36,2;2,7;0,1;0;0,8;1
India;91,9;6;1,2;0,1;0;0,7;2,002
Indonesia;99;1;0;0;0;0;1
Iran;94,1;4,5;0,8;0,2;0,4;0;2,532
Iraq;97,3;2,2;0,1;0;0,2;0,1;2,325
Japan;91,3;6,4;0,7;0,1;0;1,5;1,362
Jordan;96,6;3,1;0,1;0,2;0;0,1;1,223
South Korea;89,6;10;0,4;0;0;0;1,2
Kyrgyzstan;87,2;12,1;0,7;0;0;0,1;1,043
Mexico;96,6;2,2;0,8;0,2;0;0,1;1,535
Moldova;85;12,1;1,7;0,3;0;0,9;1,008
Morocco;93,4;5,4;0,7;0,3;0;0,2;1,251
Nigeria;98,9;0,9;0,1;0;0;0;2,022
Pakistan;92,6;6,4;1;0,2;0;0;2
Peru;82,4;16,7;0,7;0,1;0;0,1;1,501
Philippines;98,6;1,3;0,1;0;0;0;1,2
Puerto Rico;95,7;3,8;0,4;0;0;0,1;720
Saudi Arabia;94,7;4,8;0,3;0;0;0,1;1,502
Singapore;91,8;7,7;0,5;0;0;0;1,512
Vietnam;82,2;17;0,5;0,1;0;0,2;1
South Africa;95,2;3;1,7;0,1;0;0;3
Zimbabwe;97,3;2,6;0,1;0,1;0;0;1,002
Spain;85,4;13,4;0,9;0,2;0;0,2;1,209
Sweden;89,4;8,5;1,8;0,2;0;0,1;1,014
Turkey;97,3;2,1;0,3;0,2;0,1;0;3,401
Uganda;91;6,9;2;0,1;0;0;1,002
Macedonia;97,9;1,5;0,4;0,1;0;0,2;1,055
Egypt;96,4;3,3;0,2;0,1;0;0;3
Tanzania;89,6;5,6;1,3;0,2;3,2;0,2;1,171
United States;95,3;3,8;0,4;0,4;0;0,1;1,2
Venezuela;97,8;2,1;0,2;0;0;0;1,2
Serbia;92;7,1;0,8;0,1;0;0,1;1,2
Montenegro;92,3;7,5;0,1;0,1;0;0,1;1,056
