;Agree;Neither;Disagree;No answer;DK;(N)
TOTAL;46,9;12,9;38;0,3;1,9;58,842
Albania;46,1;21,5;31,1;0;1,3;1
Algeria;66,3;12,4;19,6;0;1,7;1,282
Argentina;25,4;13,1;60,2;0;1,3;1,28
Bangladesh;67,1;15,1;16,3;0;1,6;1,5
Bosnia Herzegovina;26,1;25,4;46,9;0;1,6;1,2
Canada;14,5;6,9;77,9;0;0,7;1,931
Chile;24,8;22,9;50,7;0;1,6;1,2
China;42;11,1;40,1;6,8;0;1
India;50,5;10,2;27,7;0;11,6;2,002
Indonesia;50,9;7,5;39,2;0;2,4;1
Iran;69,4;4,3;21,6;2,1;2,6;2,532
Iraq;76;0;21,9;0,6;1,5;2,325
Japan;30,2;45,2;19,8;0;4,8;1,362
Jordan;80;7,3;12,2;0;0,5;1,223
South Korea;37,7;33,3;26,3;0;2,7;1,2
Kyrgyzstan;48,5;11,4;38,9;0;1,2;1,043
Mexico;33;10,3;54,7;0;2,1;1,535
Moldova;42,9;15,3;37,1;0;4,7;1,008
Morocco;86,9;4,9;7,9;0;0,3;1,251
Nigeria;59,4;9,7;29,5;0;1,4;2,022
Pakistan;66,1;14,4;17,5;0;1,9;2
Peru;14,9;17,5;66,1;0;1,5;1,501
Philippines;69;15,5;15,5;0;0;1,2
Puerto Rico;20,6;6,7;72,2;0,1;0,4;720
Saudi Arabia;68,7;21,3;8,5;0;1,5;1,502
Singapore;29,9;16,4;53,3;0;0,5;1,512
Vietnam;46,4;6;43,2;0;4,4;1
South Africa;31,1;11,6;54,9;0;2,4;3
Zimbabwe;40;5;54,3;0;0,7;1,002
Spain;16,5;15,3;67,4;0;0,8;1,209
Sweden;2,3;4,2;93,1;0;0,3;1,014
Turkey;59,3;11,3;28,4;0;1;3,401
Uganda;40,4;11,6;47,5;0;0,5;1,002
Macedonia;41,7;21,6;34,4;0;2,2;1,055
Egypt;89,6;10;0,4;0;0;3
Tanzania;26;15,8;54,1;2,6;1,5;1,171
United States;9,8;8,1;81,3;0;0,7;1,2
Venezuela;31,2;15,9;52,2;0;0,7;1,2
Serbia;30,6;11,2;56,1;0;2,2;1,2
Montenegro;28,9;12,8;55,7;0;2,6;1,056
