;Very important;Rather important;Not very important;Not at all important;No answer;DK;(N)
TOTAL;47,2;40,5;9,9;1,7;0,4;0,3;80,95
Andorra;48,8;43,4;6,9;0,7;0,1;0,1;1,003
Argentina;59,4;25,9;11,8;2,3;0,3;0,2;1,002
Australia;57,6;36,2;4,7;0,1;1,3;0;1,421
Brazil;37,1;50,4;10,4;1,8;0,3;0,1;1,5
Bulgaria;42,2;42,4;13,5;0,5;0;1,3;1,001
Canada;63,1;32,5;4,3;0;0;0;2,164
Chile;23,6;35,8;29,4;10,4;0,4;0,3;1
China;30,3;52,6;12,7;0,5;0,3;3,5;1,991
Taiwan;39,5;52,8;7,4;0,3;0;0;1,227
Cyprus;61,6;30,4;6,5;0,6;0,8;0;1,05
Ethiopia;78,9;18,2;2,2;0,7;0;0,1;1,5
Finland;62,2;35,7;1,9;0;0;0;1,014
France;58,7;33,3;6,8;1,1;0;0;1,001
Georgia;78,1;20;1,5;0,2;0;0,3;1,5
Germany;52,4;41,6;5,2;0,3;0,2;0,1;2,064
Ghana;42,8;32,1;19,4;4,7;0,3;0,1;1,534
Guatemala;43,9;39,9;14,2;1,9;0;0;1
Hong Kong;33,1;62,6;3,9;0,1;0;0,2;1,252
Hungary;41,4;39,3;15,3;3,9;0;0;1,007
India;42,3;41,1;11,5;2,8;0;2,2;2,001
Indonesia;56,4;36,9;5,5;0;0,8;0,3;2,015
Iran;29,4;51,3;15,9;3;0,4;0;2,667
Iraq;59,7;30,4;6,3;1,7;1,1;0,9;2,701
Italy;47;45,9;5,9;0,6;0,4;0,1;1,012
Japan;44,9;47,9;5,3;0,2;1,7;0;1,096
Jordan;62,8;29,3;5,8;1,8;0,2;0;1,2
South Korea;44,5;49,3;6,1;0,1;0;0;1,2
Malaysia;43,3;50,4;5,8;0,2;0,3;0;1,201
Mali;57;33,6;6,5;0,7;2;0,2;1,534
Mexico;36,1;42,4;17,1;3,9;0,3;0,2;1,56
Moldova;23,1;52,5;21,7;2,5;0;0,2;1,046
Morocco;52,2;32,9;11,3;3,4;0,1;0;1,2
Netherlands;57,6;38,5;3,5;0,3;0;0;1,05
New Zealand;54,9;37,9;4,1;0,4;2,5;0,1;954
Norway;65;33,2;1,8;0;0;0,1;1,025
Peru;21,9;30,7;43,4;3,3;0,7;0;1,5
Poland;34,7;58;6,6;0,4;0;0,3;1
Romania;24,1;46,7;22,6;4;1,5;1,1;1,776
Russia;37,4;51,1;8,7;1,3;0,5;0,9;2,033
Rwanda;49,2;49,6;0,7;0;0,5;0,1;1,507
Serbia;55,2;39,3;4,4;0,3;0;0,7;1,22
Vietnam;22,1;62,4;15,3;0,1;0;0,1;1,495
Slovenia;51,1;39;8,9;0,8;0,2;0,1;1,037
South Africa;33,9;39,4;17,8;8,7;0;0,2;2,988
Spain;49,3;44,8;5,1;0,6;0;0;1,2
Sweden;71,3;26,7;1,9;0,1;0;0;1,003
Switzerland;58,9;37,3;3,5;0,2;0;0;1,241
Thailand;33,1;51,5;14,7;0,7;0,1;0;1,534
Trinidad and Tobago;40,2;33,3;23,9;2,3;0,2;0,1;1,002
Turkey;61,8;35,5;1,9;0,8;0;0;1,346
Ukraine;37,5;46;12,7;2,8;0,4;0,7;1
Egypt;43,2;46,7;8,3;1,8;0,1;0;3,051
United Kingdom;68,8;27,7;2,8;0,6;0;0;1,041
United States;59,6;35,3;4,2;0,6;0,3;0;1,249
Burkina Faso;55,2;35,4;7,7;1,2;0,3;0,1;1,534
Uruguay;51,5;33;10,8;4;0,7;0;1
Zambia;47,6;39,9;9,3;1,6;1,3;0,2;1,5
