;Very important;Rather important;Not very important;Not at all important;No answer;DK;(N)
TOTAL;34,8;42,6;17,3;3,8;0,7;0,7;80,95
Andorra;50,9;43,5;5,3;0,3;0;0;1,003
Argentina;40,1;42,4;14,6;1,8;0,6;0,4;1,002
Australia;44,8;45,7;6,9;0,3;2,2;0;1,421
Brazil;27;57,2;12,8;2,5;0,4;0,1;1,5
Bulgaria;27,6;39,9;25,8;4,7;0;2;1,001
Canada;40,7;47,7;10,2;1;0,3;0,1;2,164
Chile;47,2;37,9;11,9;2,2;0,5;0,3;1
China;11,4;38,9;39,5;3,7;0,8;5,8;1,991
Taiwan;34,4;49,8;14,6;1,3;0;0;1,227
Cyprus;50,8;34,7;11,4;2,3;0,8;0;1,05
Ethiopia;47,3;33,9;16,9;1,5;0,3;0,1;1,5
Finland;42,6;50,5;5,7;0,4;0;0,3;1,014
France;37,6;49,1;11,1;2;0;0;1,001
Georgia;39,3;44,3;12,3;3,2;0,3;0,6;1,5
Germany;29,7;53,1;13,8;2,4;0,5;0,2;2,064
Ghana;52;30,2;14,3;2,2;0,5;0,7;1,534
Guatemala;59,1;29,8;9,7;1,3;0;0,1;1
Hong Kong;23,6;62,5;12,7;0,3;0;0,8;1,252
Hungary;33,4;49,3;14,8;2,3;0;0;1,007
India;23,6;36,1;24,2;12,6;0;3,4;2,001
Indonesia;22,5;39,6;33,1;3;1,1;0,6;2,015
Iran;35,9;42,3;17,9;3,3;0,6;0;2,667
Iraq;31,2;38,5;18,4;7,5;1,5;2,9;2,701
Italy;31,1;54,6;12,5;0,7;0,7;0,3;1,012
Japan;40,3;49,8;6,6;0,5;2,7;0;1,096
Jordan;36,1;39,3;18,1;6,2;0,4;0;1,2
South Korea;24,1;60,9;13,8;1,2;0,1;0;1,2
Malaysia;39,3;47,3;12,2;1;0,2;0;1,201
Mali;34;31,2;21,8;7,8;4,2;0,8;1,534
Mexico;54,9;29,4;12,7;2,1;0,4;0,6;1,56
Moldova;20,8;46,2;27,6;4,6;0;0,8;1,046
Morocco;23,7;29,1;28,5;15,8;2,9;0;1,2
Netherlands;55,6;39,9;4;0,3;0;0,1;1,05
New Zealand;48,2;39,3;8,1;0,7;3,5;0,2;954
Norway;48,8;45,9;5,3;0;0;0,1;1,025
Peru;32,3;34,5;27,1;4;2,1;0;1,5
Poland;29,8;52,9;13,5;1,7;0;2,1;1
Romania;26,1;42,8;22,5;4,9;2,2;1,4;1,776
Russia;29,3;46,6;18,4;3,7;0,5;1,3;2,033
Rwanda;44,3;50,7;4,4;0,2;0,1;0,3;1,507
Serbia;40,4;42,6;14,3;1,7;0;0,9;1,22
Vietnam;7;41,9;46,2;4,1;0,1;0,3;1,495
Slovenia;43,2;43;11,7;1,6;0,2;0,3;1,037
South Africa;37,1;39,2;17,3;6;0;0,5;2,988
Spain;43,5;46,3;8,9;1;0;0,1;1,2
Sweden;53,6;41,7;4,5;0,3;0;0;1,003
Switzerland;37,5;53,4;8;0,9;0,1;0;1,241
Thailand;25,9;46,5;24,5;2,5;0,6;0;1,534
Trinidad and Tobago;51,5;30,8;15,5;2,1;0;0;1,002
Turkey;47,2;40,1;10,3;2,3;0;0;1,346
Ukraine;29,6;48;15,7;5,2;0,4;1,1;1
Egypt;13,3;40,4;35,1;11;0,1;0,1;3,051
United Kingdom;45,4;43,3;9,7;0,5;0,1;0,3;1,041
United States;37,3;51,1;9,9;0,8;0,8;0;1,249
Burkina Faso;19,7;34,7;28,4;12,5;1,8;2,2;1,534
Uruguay;42,4;45,1;8,7;2,7;1,1;0;1
Zambia;33;26,9;25,2;11,8;2,5;0,5;1,5
