;Very important;Rather important;Not very important;Not at all important;No answer;DK;(N)
TOTAL;47,8;22;17,1;11,3;0,6;1,1;80,95
Andorra;7,9;21,2;31,2;39,4;0,2;0,1;1,003
Argentina;33,1;31,6;23,7;10,5;0,9;0,1;1,002
Australia;19,2;19,4;30,9;28,9;1,6;0;1,421
Brazil;50,5;40,4;6,2;2,7;0,1;0;1,5
Bulgaria;18,4;31;31,3;16,5;0;2,8;1,001
Canada;31,8;26,9;25,2;15,5;0,3;0,2;2,164
Chile;39,6;33,3;18,2;8,1;0,5;0,3;1
China;5;11,2;24,1;34,5;0,8;24,3;1,991
Taiwan;12,4;39,3;35,8;12,5;0;0;1,227
Cyprus;53,5;26,9;12;6,6;1,1;0;1,05
Ethiopia;80,5;13,1;3,8;2;0,5;0;1,5
Finland;17,6;27,4;40,4;14,2;0,1;0,3;1,014
France;13;27,8;30,6;28,3;0;0,2;1,001
Georgia;79,5;16,9;1,9;0,9;0,3;0,5;1,5
Germany;11;22,2;28,4;36,2;0,5;0,5;2,064
Ghana;89,9;7,4;1,7;0,4;0,5;0;1,534
Guatemala;83,6;12;3,3;1,1;0;0,1;1
Hong Kong;5,1;22;60,4;9,8;0;2,7;1,252
Hungary;17,1;20,6;28,7;33,3;0;0,1;1,007
India;49,7;28,3;13,4;5,3;0;3,3;2,001
Indonesia;94;4;0,9;0,3;0,6;0,1;2,015
Iran;78,2;16,1;3,9;1,5;0,3;0;2,667
Iraq;95,6;3,3;0,4;0,2;0,2;0,3;2,701
Italy;34;41,2;16,8;6,7;0,7;0,6;1,012
Japan;5,7;11,6;31,7;39,7;11,3;0;1,096
Jordan;94,4;5,2;0,2;0,2;0,1;0;1,2
South Korea;21,1;25,8;34,5;18,6;0;0;1,2
Malaysia;80,4;15,5;3,3;0,7;0,1;0;1,201
Mali;88,1;8,4;0,8;0,3;2,1;0,2;1,534
Mexico;58,7;26;11,4;3,4;0,4;0,1;1,56
Moldova;31,7;41,1;20,4;6,6;0;0,2;1,046
Morocco;90,5;7,9;1,2;0,2;0,1;0;1,2
Netherlands;12;18,2;27,3;38,7;0,7;0,4;1,05
New Zealand;16,6;17,7;29,5;32,2;2,8;1,3;954
Norway;10,5;22,2;41,3;26;0;0;1,025
Peru;49,1;26,5;18,7;4,7;1;0;1,5
Poland;47,2;38,5;10,3;2,7;0;1,2;1
Romania;57;32;7;2,4;1,5;0,1;1,776
Russia;13,1;33,4;31;17,9;0,8;3,8;2,033
Rwanda;38,8;56,8;4,1;0,1;0,2;0;1,507
Serbia;25,3;40,2;26,4;6,5;0,2;1,4;1,22
Vietnam;7,1;25,3;47,1;19,4;0,1;1;1,495
Slovenia;15,1;27,2;30,6;25,7;1;0,4;1,037
South Africa;69,9;20,1;6,5;3;0;0,5;2,988
Spain;14,8;24,1;31;29,7;0,3;0,2;1,2
Sweden;9,3;19,9;40,7;29,6;0,5;0;1,003
Switzerland;17,2;28,2;31,6;22,7;0,2;0,1;1,241
Thailand;56;37,7;5,3;0,4;0,5;0;1,534
Trinidad and Tobago;76,6;12,9;7,9;2,3;0,2;0,1;1,002
Turkey;74,6;16,6;6,2;2,5;0,1;0,1;1,346
Ukraine;17,6;37,4;26,7;14,6;0,6;3,1;1
Egypt;95,4;4,1;0,2;0,2;0;0;3,051
United Kingdom;20,7;19,4;33,4;25;0,5;0,6;1,041
United States;47;24,1;19,5;8,7;0,7;0;1,249
Burkina Faso;82,8;12;2,7;0,7;1;0,7;1,534
Uruguay;22,6;23;27,5;25,9;1;0;1
Zambia;75,6;16,3;4,5;1,2;2,1;0,3;1,5
