;Dissatisfied;2;3;4;5;6;7;8;9;Satisfied;No answer;(N);DK;Mean;Standard Deviation;Base mean
TOTAL;3,5;2,4;4,6;5,5;13,4;11,3;16;19,6;10;12,4;0,6;83,975;0,5;6,7;2,34;83,018
Andorra;0,5;0,4;1,3;2,5;12,5;13,3;23,1;29,7;9,9;6,7;0;1,003;0;7,13;1,63;1,003
Argentina;1,2;0,7;2;1,4;7,3;5,3;18,8;26,6;13,4;22,5;0,2;1,002;0,5;7,79;1,91;995
Australia;1,2;1,3;2,1;2,8;8;8,5;21,7;32,1;13,3;8,1;0,7;1,421;0;7,28;1,82;1,411
Brazil;1,9;0,9;1,4;2,2;10,9;8,6;12,4;23,8;13,4;24,3;0,3;1,5;0;7,65;2,1;1,495
Bulgaria;5,8;6,6;11,3;11,6;18,7;11;14,9;8;4,8;2,8;0,4;1,001;3,9;5,22;2,28;958
Canada;0,5;0,7;1;1,8;5,9;7,8;16,2;34;17,1;14,4;0,4;2,164;0,1;7,76;1,67;2,154
Chile;1;0,3;2,8;6,1;12,6;12,8;15,8;19,9;12,8;15,1;0,6;1;0,2;7,16;2,03;992
China;4,5;2,9;4,2;3,8;10,4;15;12,1;21,6;9,2;14,3;0,1;1,991;1,7;6,76;2,43;1,954
Taiwan;2,8;1,5;3,4;4,2;17,3;16,8;17,7;21,4;5,7;9,1;0;1,227;0;6,58;2,06;1,227
Colombia;1,5;0,7;0,7;1,3;5,7;5,2;11;19,9;16;37,9;0;3,025;0,2;8,31;1,94;3,018
Cyprus;2,4;0,7;1,7;3,4;7,5;9,6;19,1;27,6;15;13;0;1,05;0;7,37;1,98;1,05
Ethiopia;3,3;7,2;16,6;13,3;17;18,7;13,1;5,7;2,7;1,5;0,5;1,5;0,1;4,99;2,01;1,49
Finland;0,8;1,7;1,7;2,3;3,8;3,3;13;34,7;29,1;9,6;0;1,014;0;7,84;1,75;1,014
France;1,3;0,9;3,9;4,1;13,2;10,6;21,8;26,6;10,8;6,7;0,1;1,001;0;6,91;1,9;1
Georgia;8,5;6,1;10,3;13,6;25,1;10,7;10,7;7,4;1,7;4,3;0,4;1,5;1,2;4,96;2,25;1,476
Germany;0,7;1,1;3,2;4,4;11;9,6;18,7;27,9;15,7;6,8;0,5;2,064;0,3;7,13;1,87;2,048
Ghana;6,3;5,5;7,6;10,2;7,4;11,8;14,4;17,8;7,8;10,7;0,3;1,534;0,1;6,12;2,63;1,528
Guatemala;0,9;1,2;2,7;2,1;6,8;8,3;12,7;17,3;16,9;30,8;0;1;0,1;7,93;2,1;999
Hong Kong;1,8;1,8;3,9;6,2;15,3;21,7;18,8;17,7;6,8;5,4;0,6;1,252;0;6,41;1,93;1,244
Hungary;2,9;2,5;9,1;10,5;18,5;14,7;15,5;15,3;6,2;4,3;0,2;1,007;0,2;5,91;2,14;1,003
India;3,5;0;15,4;0;41;0;21,8;0;0;15,8;0,1;2,001;2,2;5,8;2,35;1,953
