;A religious person;Not a religious person;A convinced atheist;No answer;DK;(N)
TOTAL;67,3;24,4;4,8;1,4;1,9;83,975
Andorra;48;37,5;14,2;0,2;0,2;1,003
Argentina;78,1;15,9;2,2;0,6;3,2;1,002
Australia;51,4;37,5;9,8;1,3;0;1,421
Brazil;87,2;10,7;1,2;0,8;0,1;1,5
Bulgaria;57,1;28;4,7;0,2;10;1,001
Canada;65,1;26,1;6,4;0,3;2,1;2,164
Chile;63,4;31,4;3,2;1,3;0,7;1
China;23;58,7;16,3;0,7;1,4;1,991
Taiwan;40,2;42,8;16,8;0,1;0,1;1,227
Colombia;79,9;19,5;0,5;0,1;0;3,025
Cyprus;61,5;36,2;2,1;0,1;0;1,05
Ethiopia;76,7;17,5;0,3;4,7;0,7;1,5
Finland;58,5;35,8;3;0,3;2,4;1,014
France;46,4;35,6;16,9;0,4;0,8;1,001
Georgia;95,1;3,1;0,3;1,1;0,5;1,5
Germany;40,7;36;18,2;1,9;3,2;2,064
Ghana;90,8;7,9;0,5;0,3;0,4;1,534
Guatemala;71,6;26,3;0,7;0;1,3;1
Hong Kong;27,2;67,1;5,4;0,4;0;1,252
Hungary;46,1;45,4;5,1;1,5;1,8;1,007
India;72,8;18,2;2,3;0,1;6,5;2,001
Indonesia;75,3;13,5;0,2;4,1;5,9;2,015
Iran;80,8;15,7;0,1;3,2;0,2;2,667
Iraq;51,6;40,2;2,5;3,3;2,4;2,701
Italy;85;9;2,6;1;2,5;1,012
Japan;21,2;54,3;12;12,6;0;1,096
Jordan;92,2;7,7;0,1;0;0;1,2
South Korea;30;41,2;28,5;0,3;0;1,2
Malaysia;88,8;8,6;2,3;0,3;0;1,201
Mali;93,7;1,9;0,4;2,5;1,3;1,534
Mexico;74,9;21,6;2,9;0;0,6;1,56
Moldova;81,6;14,5;1;0,8;2,1;1,046
Morocco;89,7;8;0;2,3;0;1,2
Netherlands;50,7;31,7;6,7;2,7;5,7;1,05
New Zealand;45;39,1;6,3;2,6;7;954
Norway;40,9;51,3;6,7;0,6;0,5;1,025
Peru;78,8;15,9;1,4;3,9;0;1,5
Poland;92;3,9;1,4;0,2;2,6;1
Romania;91,5;5,9;0,6;1;1,1;1,776
Russia;65,3;19,5;3,9;1,4;9,3;2,033
Rwanda;93,8;5,7;0,1;0,1;0,2;1,507
Serbia;76,1;9,4;3,5;3,9;7;1,22
Vietnam;38,3;36,5;23,1;0,4;1,4;1,495
Slovenia;64;15,5;8,7;3;8,8;1,037
South Africa;79,7;17,2;1,1;0;2;2,988
Spain;44,3;45,7;7,2;1;1,5;1,2
Sweden;32,7;48,2;16,8;2,2;0;1,003
Switzerland;62,6;26,4;7,6;1,7;1,8;1,241
Thailand;35,5;64,3;0,2;0,1;0;1,534
Trinidad and Tobago;82,7;15,2;0,5;0,7;0,9;1,002
Turkey;81;16,6;0,5;1,4;0,6;1,346
Ukraine;74,4;15;2,8;2,8;5;1
Egypt;92,3;7,4;0;0,3;0;3,051
United Kingdom;47,2;39,7;10,1;1,1;1,5;1,041
United States;69;23,4;3,4;0,7;0;1,249
Burkina Faso;87,7;6,6;1,5;0,8;2,9;1,534
Uruguay;56,2;35,9;7,6;0,3;0;1
Zambia;82,2;9,1;0,5;3,2;4,9;1,5
