;Completely dissatisfied;2;3;4;5;6;7;8;9;Completely satisfied;"HT: Dropped out survey;RU:Inappropriate response";"No answer; BH: Refused";DK;(N);Mean;Standard Deviation;Base mean
TOTAL;3,2;2,1;3,9;5,2;13;11,8;16,9;19,7;10,1;13,5;0;0,3;0,3;89,565;6,82;2,28;88,987
Algeria;5,7;0,8;4,8;7,7;19,6;12,1;14,6;12,6;7,4;12;0;1,8;1;1,2;6,3;2,41;1,166
Azerbaijan;4,3;2,4;2,6;4,8;13,8;12,4;19,3;19,5;12,4;8,4;0;0;0;1,002;6,66;2,24;1,002
Argentina;0,4;0,4;1,1;3;6;11,1;22,4;30,2;13,9;10,5;0;0,8;0,2;1,03;7,49;1,63;1,019
Australia;1;2,3;3,8;4,8;8,4;7,2;16,6;29,2;16;10;0;0,8;0;1,477;7,2;2,05;1,465
Armenia;10,7;7,1;8,4;6,4;26,5;9,4;9,6;11,3;3,7;6,8;0;0,1;0,2;1,1;5,24;2,55;1,097
Brazil;1,8;1,4;1,5;2,2;10,5;6,9;11,5;19,2;11,3;33,4;0;0;0,2;1,486;7,84;2,21;1,483
Belarus;2,6;4;9,8;9,6;19,9;14,2;16,8;14,1;5;3,8;0;0;0,2;1,535;5,78;2,12;1,531
Chile;0,6;0,9;2,1;4,1;8;12,6;21;26,1;12,3;11,1;0;1,2;0;1;7,27;1,82;988
China;1,1;1,8;3,3;5,9;11,8;13,1;18,3;24,7;10,3;7,8;0;1,4;0,4;2,3;6,85;1,98;2,257
Taiwan;2,5;1,1;3,4;2,2;14,1;14,6;17,6;23,8;7,9;11,2;0;0,1;1,7;1,238;6,9;2,06;1,216
Colombia;0,5;0,4;1,1;1,7;5,2;4,4;10,3;22,7;16,3;37,5;0;0;0;1,512;8,39;1,79;1,512
Cyprus;1,8;1,1;2,5;3,6;11,4;12;18;22,4;13,9;12,8;0;0;0,4;1;7,16;2,04;996
Ecuador;0,8;0,2;1,1;1,5;6,6;7,7;14,7;26,3;21,9;19,2;0;0;0;1,202;7,92;1,74;1,202
Estonia;1,8;3;6,5;8,2;15,8;14,5;18,4;19,3;8,2;4;0;0;0,4;1,533;6,25;2,07;1,528
Georgia;7,1;5,1;10,1;9,7;25;8;13,3;10,4;3,5;7,7;0;0;0,2;1,202;5,45;2,43;1,2
Palestine;9,3;5,5;5,7;6,8;18;16,4;14,5;11,9;4,3;7,1;0;0,4;0,1;1;5,62;2,49;995
Germany;0,9;1,8;3;3,6;8;6,9;18;30,2;15,3;11,9;0;0,1;0,2;2,046;7,36;1,97;2,042
Ghana;4;4,9;7,6;9,2;12,2;12,2;16,7;17,3;8,2;7,8;0;0;0;1,552;6,14;2,4;1,552
Haiti;9,7;4,8;5,4;8;23,4;15,8;11,1;4,7;3,9;12,6;0,1;0,2;0,3;1,996;5,59;2,6;1,985
Hong Kong;1,5;1;1,9;4,2;14,3;13,9;23,8;23,7;8,2;7,2;0;0,3;0;1;6,85;1,84;997
India;3,1;2,5;3,8;8,2;14,3;15,8;17,3;13,6;8,7;12,1;0;0,6;0;4,078;6,52;2,28;4,054
Iraq;1,9;4,8;9,8;10,7;12,2;15,8;20,5;11,8;7,5;4,2;0;0,2;0,6;1,2;5,91;2,18;1,191
Japan;1,3;1,1;3,5;5,8;12,1;11;18,4;25,4;11,1;7,9;0;0;2,5;2,443;6,91;1,98;2,381
