;A religious person;Not a religious person;An atheist;No answer;DK;(N)
TOTAL;66,1;25;5,3;1,2;2,2;88,042
Algeria;74,2;13,2;0,7;11,8;0;1,2
Azerbaijan;26,7;73,2;0,1;0;0;1,002
Argentina;67,8;22,4;4,6;2,6;2,6;1,03
Australia;41,3;41,5;16,3;0,9;0;1,477
Armenia;88,5;8,9;1,4;0;1,2;1,1
Brazil;79,7;17,5;1;0,5;1,3;1,486
Belarus;62,2;32,2;5,1;0;0,5;1,535
Chile;50,3;41,8;4,2;1,9;1,8;1
China;12,5;57;27;3,1;0,4;2,3
Taiwan;43,6;35,8;17,2;0,3;3,1;1,238
Colombia;82,5;15,5;1,1;0,2;0,6;1,512
Cyprus;78,3;20,5;1,2;0;0;1
Ecuador;71,1;27,5;1,1;0,1;0,2;1,202
Estonia;30,9;55,9;7,4;0,5;5,3;1,533
Georgia;97,1;2,5;0,2;0;0,2;1,202
Palestine;72,4;24,5;1,2;1,9;0;1
Germany;49,5;38,1;9,6;1,2;1,4;2,046
Ghana;97;2,7;0,3;0;0;1,552
Haiti;90,3;3,8;3,3;0;0,1;1,996
Hong Kong;19,8;24,7;55;0,5;0;1
India;88,8;7,2;0,9;0;3,1;4,078
Iraq;76,8;14,8;0,3;0;8;1,2
Japan;20,9;49,9;11,3;0;17,9;2,443
Kazakhstan;61,7;31,5;6,7;0;0;1,5
Jordan;80,4;19,2;0,1;0,3;0;1,2
South Korea;32,5;37,1;29,5;0,9;0;1,2
Kuwait;66,1;18,6;4,9;10,4;0;1,303
Kyrgyzstan;92,3;5,6;2;0,1;0;1,5
Lebanon;63,6;29,2;3,3;3,9;0;1,2
Libya;68,5;23,4;0,6;3,4;4,1;2,131
Malaysia;53,7;45,5;0,8;0;0;1,3
Mexico;74,2;22,8;2,4;0,3;0,2;2
Morocco;82,4;10,2;0;4,2;3,2;1,2
Netherlands;43,8;42,1;10,3;0,6;3,2;1,902
New Zealand;42,7;40,9;7,7;2;6,7;841
Nigeria;95,9;3,9;0,2;0;0;1,759
Pakistan;99,7;0,3;0;0;0;1,2
Peru;81,5;13,3;1,8;1,5;1,9;1,21
Philippines;80,7;19,2;0;0,1;0;1,2
Poland;86,2;6,6;4,7;0,8;1,8;966
Qatar;93,8;5;1;0,3;0;1,06
Romania;81,4;15,2;1,1;0,9;1,4;1,503
Russia;53,1;26,7;7;2,1;9,8;2,5
Rwanda;95,9;3,4;0,7;0;0;1,527
Singapore;53,1;34,8;0;0;11,9;1,972
Slovenia;64,2;15,2;13,4;1,5;5,7;1,069
South Africa;80;18,2;1,9;0;0;3,531
Zimbabwe;90,7;8;1,3;0;0;1,499
Spain;40;50;7,6;1,2;1;1,189
Sweden;31,2;48,5;16,8;0,4;2,1;1,206
Thailand;32;63,8;1;3,2;0;1,2
Trinidad and Tobago;78,8;18,7;0,3;0;2,2;999
Tunisia;65,1;26,5;0,7;0;7,6;1,205
Turkey;83,5;14;0,8;1,2;0,5;1,605
Ukraine;68,3;26,9;4,8;0;0;1,5
United States;67;27,3;4,4;1,3;0;2,232
Uruguay;50,8;32,3;11,3;2,4;3,2;1
Uzbekistan;48,7;44,7;0,3;6,3;0;1,5
Yemen;86,3;8,9;0;4,8;0;1
